g_id,h_id,TEN,ST,PUMA10
444,93452864,4.0,37,800
444,93452865,4.0,37,800
444,93452866,4.0,37,800
444,93452867,4.0,37,800
444,93452868,4.0,37,800
444,93452869,4.0,37,800
444,93452870,4.0,37,800
444,93452871,4.0,37,800
444,93452872,4.0,37,800
444,93452873,4.0,37,800
444,93452874,4.0,37,800
444,93452875,4.0,37,800
444,93452876,4.0,37,800
444,93452877,4.0,37,800
444,93452878,4.0,37,800
444,93452879,4.0,37,800
444,93452880,4.0,37,800
444,93452881,4.0,37,800
444,93452882,4.0,37,800
444,93452883,4.0,37,800
444,93452884,4.0,37,800
444,93452885,4.0,37,800
444,93452886,4.0,37,800
444,93452887,4.0,37,800
444,93452888,4.0,37,800
444,93452889,4.0,37,800
444,93452890,4.0,37,800
444,93452891,4.0,37,800
444,93452892,4.0,37,800
444,93452893,4.0,37,800
444,93452894,4.0,37,800
444,93452895,4.0,37,800
444,93452896,4.0,37,800
444,93452897,4.0,37,800
444,93452898,4.0,37,800
444,93452899,4.0,37,800
444,93452900,4.0,37,800
444,93452901,4.0,37,800
444,93452902,4.0,37,800
444,93452903,4.0,37,800
444,93452904,4.0,37,800
444,93452905,4.0,37,800
444,93452906,4.0,37,800
444,93452907,4.0,37,800
444,93452908,4.0,37,800
444,93452909,4.0,37,800
444,93452910,4.0,37,800
444,93452911,4.0,37,800
444,93452912,4.0,37,800
444,93452913,4.0,37,800
444,93452914,4.0,37,800
444,93452915,4.0,37,800
444,93452916,4.0,37,800
444,93452917,4.0,37,800
444,93452918,4.0,37,800
444,93452919,4.0,37,800
444,93452920,4.0,37,800
444,93452921,4.0,37,800
444,93458837,1.0,37,800
444,93458838,1.0,37,800
444,93458839,1.0,37,800
444,93458840,1.0,37,800
444,93458841,1.0,37,800
444,93458842,1.0,37,800
444,93458843,1.0,37,800
444,93458844,1.0,37,800
444,93458845,1.0,37,800
444,93458846,1.0,37,800
444,93459085,1.0,37,800
444,93459086,1.0,37,800
444,93459087,1.0,37,800
444,93459088,1.0,37,800
444,93459089,1.0,37,800
444,93459090,1.0,37,800
444,93459091,1.0,37,800
444,93459092,1.0,37,800
444,93459093,1.0,37,800
444,93459094,1.0,37,800
444,93459095,1.0,37,800
444,93459096,1.0,37,800
444,93459097,1.0,37,800
444,93459098,1.0,37,800
444,93459099,1.0,37,800
444,93459100,1.0,37,800
444,93459101,1.0,37,800
444,93459102,1.0,37,800
444,93459103,1.0,37,800
444,93459104,1.0,37,800
444,93459105,1.0,37,800
444,93459106,1.0,37,800
444,93459107,1.0,37,800
444,93459108,1.0,37,800
444,93459109,1.0,37,800
444,93459110,1.0,37,800
444,93459111,1.0,37,800
444,93459112,1.0,37,800
444,93459113,1.0,37,800
444,93459114,1.0,37,800
444,93459115,1.0,37,800
444,93459116,1.0,37,800
444,93459117,1.0,37,800
444,93459118,1.0,37,800
444,93459119,1.0,37,800
444,93459120,1.0,37,800
444,93459121,1.0,37,800
444,93459122,1.0,37,800
444,93459123,1.0,37,800
444,93459124,1.0,37,800
444,93459125,1.0,37,800
444,93459126,1.0,37,800
444,93459127,1.0,37,800
444,93459128,1.0,37,800
444,93459129,1.0,37,800
444,93459130,1.0,37,800
444,93459131,1.0,37,800
444,93459132,1.0,37,800
444,93459133,1.0,37,800
444,93459134,1.0,37,800
444,93459135,1.0,37,800
444,93459136,1.0,37,800
444,93459137,1.0,37,800
444,93459138,1.0,37,800
444,93459139,1.0,37,800
444,93459140,1.0,37,800
444,93459141,1.0,37,800
444,93459142,1.0,37,800
444,93459143,1.0,37,800
444,93459144,1.0,37,800
444,93459145,1.0,37,800
444,93459146,1.0,37,800
444,93459147,1.0,37,800
444,93459148,1.0,37,800
444,93459149,1.0,37,800
444,93459150,1.0,37,800
444,93459151,1.0,37,800
444,93459152,1.0,37,800
444,93459153,1.0,37,800
444,93459154,1.0,37,800
444,93459155,1.0,37,800
444,93459156,1.0,37,800
444,93459157,1.0,37,800
444,93459158,1.0,37,800
444,93459159,1.0,37,800
444,93459160,1.0,37,800
444,93459161,1.0,37,800
