h_id,AGEP,RELP,SEX,RACAIAN,RACASN,RACBLK,RACNHPI,RACSOR,RACWHT,isHISP,RACNUM
93452864,89,0,1,0,0,0,0,0,1,0,1
93452865,89,0,1,0,0,0,0,0,1,0,1
93452866,89,0,1,0,0,0,0,0,1,0,1
93452867,89,0,1,0,0,0,0,0,1,0,1
93452868,89,0,1,0,0,0,0,0,1,0,1
93452869,89,0,1,0,0,0,0,0,1,0,1
93452870,89,0,1,0,0,0,0,0,1,0,1
93452871,89,0,1,0,0,0,0,0,1,0,1
93452872,89,0,1,0,0,0,0,0,1,0,1
93452873,89,0,1,0,0,0,0,0,1,0,1
93452874,89,0,1,0,0,0,0,0,1,0,1
93452875,89,0,1,0,0,0,0,0,1,0,1
93452876,89,0,1,0,0,0,0,0,1,0,1
93452877,89,0,1,0,0,0,0,0,1,0,1
93452878,89,0,1,0,0,0,0,0,1,0,1
93452879,89,0,1,0,0,0,0,0,1,0,1
93452880,89,0,1,0,0,0,0,0,1,0,1
93452881,89,0,1,0,0,0,0,0,1,0,1
93452882,89,0,1,0,0,0,0,0,1,0,1
93452883,89,0,1,0,0,0,0,0,1,0,1
93452884,89,0,1,0,0,0,0,0,1,0,1
93452885,89,0,1,0,0,0,0,0,1,0,1
93452886,89,0,1,0,0,0,0,0,1,0,1
93452887,89,0,1,0,0,0,0,0,1,0,1
93452888,89,0,1,0,0,0,0,0,1,0,1
93452889,89,0,1,0,0,0,0,0,1,0,1
93452890,89,0,1,0,0,0,0,0,1,0,1
93452891,89,0,1,0,0,0,0,0,1,0,1
93452892,89,0,1,0,0,0,0,0,1,0,1
93452893,89,0,1,0,0,0,0,0,1,0,1
93452894,89,0,1,0,0,0,0,0,1,0,1
93452895,89,0,1,0,0,0,0,0,1,0,1
93452896,89,0,1,0,0,0,0,0,1,0,1
93452897,89,0,1,0,0,0,0,0,1,0,1
93452898,89,0,1,0,0,0,0,0,1,0,1
93452899,89,0,1,0,0,0,0,0,1,0,1
93452900,89,0,1,0,0,0,0,0,1,0,1
93452901,89,0,1,0,0,0,0,0,1,0,1
93452902,89,0,1,0,0,0,0,0,1,0,1
93452903,89,0,1,0,0,0,0,0,1,0,1
93452904,89,0,1,0,0,0,0,0,1,0,1
93452905,89,0,1,0,0,0,0,0,1,0,1
93452906,89,0,1,0,0,0,0,0,1,0,1
93452907,89,0,1,0,0,0,0,0,1,0,1
93452908,89,0,1,0,0,0,0,0,1,0,1
93452909,89,0,1,0,0,0,0,0,1,0,1
